word,dominance,category,diff_thresh0.5,rt_thresh0.5,st_thresh0.5,acc_thresh0.5,avg_out_diff_tick_1,avg_out_diff_tick_2,avg_out_diff_tick_3,avg_out_diff_tick_4,avg_out_diff_tick_5,avg_out_diff_tick_6,avg_out_diff_tick_7,avg_out_diff_tick_8,avg_out_diff_tick_9,avg_out_diff_tick_10,avg_out_diff_tick_11,avg_out_diff_tick_12,avg_out_diff_tick_13,avg_out_diff_tick_14,avg_out_diff_tick_15,avg_out_diff_tick_16,avg_out_diff_tick_17,avg_out_diff_tick_18,avg_out_diff_tick_19,avg_out_diff_tick_20,avg_out_tick_1,avg_out_tick_2,avg_out_tick_3,avg_out_tick_4,avg_out_tick_5,avg_out_tick_6,avg_out_tick_7,avg_out_tick_8,avg_out_tick_9,avg_out_tick_10,avg_out_tick_11,avg_out_tick_12,avg_out_tick_13,avg_out_tick_14,avg_out_tick_15,avg_out_tick_16,avg_out_tick_17,avg_out_tick_18,avg_out_tick_19,avg_out_tick_20
LES,low,5,0.0,12,15,1,,0.07371827291,0.02985386063,0.033869732113,0.047428820843,0.055521745326,0.057869934216,0.05283983316209999,0.04358619246929999,0.03420177235,0.026067885221,0.020047241551340002,0.01516512217543,0.011231020746310001,0.00803748036112,0.005645814824539999,0.004037377334071999,0.0030581101878820027,0.002455162480446998,0.0020925087292799987,0.3012340272,0.23505659229000003,0.21492406565999997,0.22441852694699999,0.254272156104,0.29711762737799996,0.345431965162,0.3894790933999,0.4226832701306,0.4446647229806,0.4572901859595999,0.46320355800826,0.46505125943283,0.46490232608652,0.4641502711254,0.46345724250085985,0.462962743766788,0.46261775677890604,0.46235962009845905,0.46215094971317894
LOL,high,2,0.0,12,16,1,,0.07371827291,0.03714458053,0.030680797015999996,0.027488049674,0.025789262844000002,0.02580900848900001,0.0260882851696,0.026549303498199995,0.027468611881200006,0.02650724216557,0.02357324423136,0.019545462910890002,0.015175598609609996,0.011060886629159996,0.007837472858490003,0.005789082775409996,0.004653845452515004,0.0041456910314839985,0.004004316650318001,0.3012340272,0.23505659229000003,0.20849393476,0.196480477944,0.19493301143,0.200351053646,0.21055661592899994,0.22429766054739997,0.24008384770919997,0.255740617748,0.26925287104242995,0.27997633511106995,0.28831833102018,0.29465289283057,0.2992094393014099,0.30235497156291996,0.30458188999831004,0.306334611957795,0.307924265740511,0.30954246452259304
REB,high,7,0.0,13,16,1,,0.07371827291,0.03670053212,0.04410693087999999,0.05734133736,0.061491529056,0.058353885181,0.0517940262297,0.04653914173049999,0.043155589632100005,0.040693735066369995,0.036549957780859996,0.030288735014267997,0.022954856760693997,0.015472944142591998,0.009625415680183005,0.005880687197765002,0.003833882864283994,0.0027436553475060025,0.0021354536357849965,0.3012340272,0.23505659229000003,0.21929041716999997,0.23687910032999998,0.27771760862999995,0.330085105114,0.38311874051300004,0.4308481292833001,0.47282019087280003,0.5105633900807001,0.5446227820743299,0.5746324818934699,0.6000301204792019,0.619350109518508,0.631941336255916,0.6392583410557331,0.643402539477968,0.6458530756336839,0.647393042506178,0.648407606530393
TAT,low,7,0.0,15,17,1,,0.07371827291,0.04352792832000001,0.035913027019999995,0.03593067983,0.03970118849,0.041272266178,0.03987221147,0.039379022217,0.039878246765400006,0.041763765794000006,0.0425381935835,0.040334001235340006,0.03369981687516,0.023710702140099994,0.013878261332690003,0.007686319607461,0.0046242839110049935,0.0031284138359879993,0.0023892378489599993,0.3012340272,0.23505659229000003,0.20748363797000002,0.20112364077,0.21103104882,0.23328982109,0.262401828232,0.292330725482,0.319971540485,0.3454259152196,0.3716306739856,0.39986525378209997,0.42661476074676,0.44702305287159994,0.45932192193149995,0.46505462719881,0.46715005599134907,0.467740226480344,0.46775191744435607,0.4675244706173961
MOR,low,5,0.0,13,16,1,,0.07371827291,0.04398753675,0.043076833585,0.04550805687169998,0.047757485119499996,0.04608581436950001,0.04115043347816999,0.03565164897044,0.030496738255140002,0.025728357467223004,0.021530826682562995,0.017669483982802003,0.013809545573928994,0.010194205090519003,0.00712347522651,0.004888409599200003,0.003415456759214999,0.002509444816067999,0.0019579833194330017,0.3012340272,0.23505659229000003,0.21605950353999998,0.224313558755,0.2511208470833,0.28909334116380003,0.32906165159429995,0.36526318871613,0.3959930995016901,0.42079425292454997,0.4401055106893269,0.45480854525276404,0.46562948917396196,0.47292206181803303,0.47715834532751394,0.479167191701004,0.4798345227018041,0.4797994285805889,0.47941903319252105,0.47886955486508803
KUR,high,2,0.0,12,14,1,,0.07371827291,0.045203790574999986,0.037680877115000004,0.03287166582500001,0.0288506690871,0.025051186169299994,0.0221511335773,0.01984415661401,0.01799208478416,0.016282867470618002,0.014244992440555002,0.011843270416695003,0.009407250498699999,0.007263009657879998,0.00557106710715,0.004436372908320001,0.0037561510875699982,0.003406007858224001,0.0033209686110689998,0.3012340272,0.23505659229000003,0.209783389715,0.20359033760000003,0.206622638375,0.21321242948790003,0.2205303783186,0.22774202194130003,0.23497765532728995,0.24240257527312997,0.24978488201551197,0.25662990294395704,0.26248295397006205,0.267117446257762,0.270586510680482,0.273174129277532,0.27524937484761197,0.27712898454464197,0.279029553352738,0.281079454899749
KAB,low,2,0.0,12,16,1,,0.07371827291,0.03750752033,0.030517095662,0.028130099683,0.025145652794,0.022006315280999993,0.021596826739,0.021332856913000003,0.021465248803000003,0.020849300044700002,0.019614791322500002,0.0175423926685,0.0143723764022,0.0106240466761,0.007435358913140004,0.005384584329739998,0.004270307939599999,0.0038046206034099994,0.0036888627051919988,0.3012340272,0.23505659229000003,0.20978045116,0.197551074698,0.19085258341500005,0.18762307450900004,0.18699505656999996,0.18792172237099997,0.189252537598,0.19063253847500003,0.19261572767029997,0.1956305912878,0.19944717381930002,0.2033502721971,0.20658872110100002,0.20895548968786007,0.21079136499812,0.21252504113451998,0.21444864828813004,0.216728660583538
MAN,high,4,0.0,13,17,1,,0.07371827291,0.04608747861,0.035008718839,0.029680443269,0.028487256957,0.030859341173099998,0.033720632620500006,0.0359575894493,0.0371491521617,0.03726482358501,0.03534588144238,0.030311016846950003,0.022993425678625997,0.015646566185170997,0.010267543967869006,0.006971961008139995,0.0049850056418360034,0.0038969447338390024,0.003297725987164995,0.3012340272,0.23505659229000003,0.20333165928000008,0.19039416004099993,0.19091988217200004,0.20191041720699998,0.2211073561799,0.2465627501434,0.27655161875010004,0.3093664301004,0.34318321356739,0.37548652338501,0.40281349844746006,0.4227082604672339,0.43518538845986293,0.4419719248919941,0.445092956859854,0.446122305131278,0.446035147721839,0.445332699503214
MUD,high,2,0.0,11,13,1,,0.07371827291,0.04752777689899999,0.03748619842999999,0.03338480516310001,0.030372104505799996,0.026124660402700003,0.021829483862979993,0.01791896432569,0.014668577830390004,0.012181762740059996,0.010136152259190002,0.008346955072740003,0.006705887071437997,0.005224495546171001,0.004078922975138,0.003269071029230002,0.0027243572704159997,0.002410041271715001,0.0022758646074619976,0.3012340272,0.23505659229000003,0.20723874939099995,0.199091166161,0.20168991479790002,0.20975782929210002,0.21844909088940004,0.22554757542641998,0.23099306490073004,0.23517835708474,0.23851772369132,0.24130007944504997,0.24362442840402998,0.24546101533543196,0.246786623446061,0.247672672581523,0.24825551308543303,0.248664925544415,0.248989423106222,0.24927810565298397
TES,high,3,0.0,11,15,1,,0.07371827291,0.04089091352100001,0.033360954088,0.032842013997,0.0340571709897,0.03528307119369999,0.036284857682310004,0.035947235822200004,0.03346532632121999,0.02906342860585,0.023695715240459995,0.017942627536801002,0.012661462047364996,0.008534935512582999,0.005678833610959,0.003846766157068997,0.002720326765173007,0.0020047899422219965,0.0015396821213940054,0.3012340272,0.23505659229000003,0.2043523407690001,0.19414650608099998,0.198568500484,0.2140104602943,0.2363095867006,0.26204735641829,0.28805214653609,0.31111554274687003,0.32965382465901993,0.34359169393656,0.35328829953375895,0.359522085366394,0.363358188255811,0.36571341089769205,0.367191859748263,0.36815286569220995,0.36880610069012804,0.3692746489280141
