epoch,seed,hidden_units,error,linearity
0,0,100,5338.393,-
1,0,100,6026.217,-0.4809212
2,0,100,8110.61,-0.3500354
3,0,100,6867.307,0.4140802
4,0,100,6039.706,0.9200433
5,0,100,5262.268,0.9549065
6,0,100,4480.177,0.9501321
7,0,100,3806.635,0.8499483
8,0,100,3363.764,0.4974745
9,0,100,3738.993,-0.6095107
10,0,100,5712.738,-0.5241817
11,0,100,3939.114,-0.07884251
12,0,100,3423.222,-0.5451838
13,0,100,3970.989,-0.6970608
14,0,100,4085.236,-0.5954349
15,0,100,4670.255,-0.5108503
16,0,100,3754.125,-0.3197329
17,0,100,3432.466,-0.5717072
18,0,100,4114.295,-0.65648
19,0,100,3570.728,-0.4855833
20,0,100,3941.927,-0.5751328
21,0,100,3612.417,-0.5592356
22,0,100,3620.66,-0.6305287
23,0,100,3331.041,-0.5532602
24,0,100,3961.845,-0.6552916
25,0,100,3601.129,-0.5303836
26,0,100,4231.172,-0.6442943
27,0,100,3230.715,-0.2249078
28,0,100,3376.466,-0.7162367
29,0,100,3647.555,-0.6973308
30,0,100,4120.737,-0.6081486
31,0,100,3373.431,-0.4547614
32,0,100,3434.591,-0.6756546
33,0,100,3508.896,-0.6266233
34,0,100,4004.048,-0.6336439
35,0,100,3307.952,-0.4390104
36,0,100,3849.606,-0.6992184
37,0,100,3398.356,-0.5532283
38,0,100,3298.032,-0.6248274
39,0,100,3709.369,-0.6947891
40,0,100,3355.709,-0.6066527
41,0,100,3374.758,-0.6958342
42,0,100,3607.06,-0.7224368
43,0,100,3098.046,-0.5093489
44,0,100,3312.363,-0.7757193
45,0,100,3553.691,-0.6980971
46,0,100,3679.359,-0.6488231
47,0,100,3076.938,-0.5496274
48,0,100,3117.567,-0.7707691
49,0,100,3220.555,-0.7609667
50,0,100,3598.145,-0.7631864
51,0,100,3419.465,-0.1804449
52,0,100,2992.976,0.03951669
53,0,100,2924.163,-0.414628
54,0,100,3032.272,-0.5764828
55,0,100,3007.671,-0.2208745
56,0,100,2887.001,-0.09608065
57,0,100,2858.329,-0.3219531
58,0,100,2829.654,-0.2612961
59,0,100,2813.713,-0.2626498
60,0,100,2824.604,-0.4999427
61,0,100,2820.209,-0.2391278
62,0,100,2802.471,-0.1262684
63,0,100,2781.283,-0.08641998
64,0,100,2764.049,-0.09707379
65,0,100,2747.602,0.01361978
66,0,100,2730.067,-0.02445143
67,0,100,2721.232,-0.1345291
68,0,100,2710.513,-0.00684151
69,0,100,2693.704,0.1043537
70,0,100,2677.924,0.04764388
71,0,100,2664.771,-0.01496948
72,0,100,2671.522,-0.2860186
73,0,100,2821.739,-0.6003102
74,0,100,3113.497,-0.7173785
75,0,100,2739.297,-0.3674682
76,0,100,2849.172,-0.4393685
77,0,100,2686.601,-0.06553949
78,0,100,2687.12,-0.3353277
79,0,100,2714.209,-0.4092391
80,0,100,2655.464,-0.1827798
81,0,100,2605.939,0.03433272
82,0,100,2601.487,-0.2552283
83,0,100,2593.984,-0.2626874
84,0,100,2583.778,-0.2833382
85,0,100,2553.425,-0.2026212
86,0,100,2536.758,-0.03571992
87,0,100,2525.863,-0.146672
88,0,100,2502.715,-0.08879852
89,0,100,2481.448,0.03145695
90,0,100,2466.757,-0.02281016
91,0,100,2449.362,0.02846234
92,0,100,2429.167,0.07438622
93,0,100,2406.126,0.1068851
94,0,100,2387.284,0.02223991
95,0,100,2365.209,0.1334489
96,0,100,2341.393,0.2768041
97,0,100,2315.005,0.3143179
98,0,100,2289.731,0.2063872
99,0,100,2269.891,0.001841307
100,0,100,2301.573,-0.2696285
101,0,100,2759.585,-0.6142853
102,0,100,2819.479,-0.5653071
103,0,100,2658.273,-0.3915209
104,0,100,2728.497,-0.4301521
105,0,100,2625.257,0.01272831
106,0,100,2418.558,-0.1312757
107,0,100,2360.89,-0.1253586
108,0,100,2383,-0.3565886
109,0,100,2302.499,-0.2099456
110,0,100,2252.809,-0.1220239
111,0,100,2218.278,-0.2447052
112,0,100,2176.567,-0.1344478
113,0,100,2155.009,-0.1696973
114,0,100,2117.28,-0.0522459
115,0,100,2086.452,0.02072795
116,0,100,2045.754,0.04133283
117,0,100,2014.426,-0.004809728
118,0,100,2024.234,-0.2278453
119,0,100,2255.144,-0.5288866
120,0,100,2747.975,-0.6386823
121,0,100,2242.727,-0.4976944
122,0,100,2406.677,-0.3851746
123,0,100,2101.836,0.1968339
124,0,100,2106.332,-0.3347361
125,0,100,2067.755,-0.07615111
126,0,100,1992.14,-0.02545897
127,0,100,1948.457,-0.2479999
128,0,100,1908.994,-0.09460787
129,0,100,1874.412,-0.003890397
130,0,100,1833.108,-0.0973824
131,0,100,1793.527,-0.05390179
132,0,100,1764.103,0.04842245
133,0,100,1725.901,0.09932977
134,0,100,1680.156,0.1365386
135,0,100,1637.789,0.1629254
136,0,100,1601.182,0.1465567
137,0,100,1556.566,0.302197
138,0,100,1506.139,0.3689526
139,0,100,1455.022,0.3799029
140,0,100,1405.205,0.3361479
141,0,100,1353.169,0.2207268
142,0,100,1315.726,-0.0259584
143,0,100,1414.015,-0.337985
144,0,100,2527.55,-0.5698929
145,0,100,2687.082,-0.3634831
146,0,100,3621.738,-0.4675939
147,0,100,3705.653,-0.452206
148,0,100,3086.977,-0.3440662
149,0,100,3036.15,-0.0718516
150,0,100,2473.471,-0.04351247
151,0,100,2215.331,-0.009866924
152,0,100,2014.66,-0.168046
153,0,100,1795.206,-0.1243454
154,0,100,1797.36,-0.2144921
155,0,100,1832.333,-0.3815809
156,0,100,1802.269,-0.3575725
157,0,100,2268.994,-0.4474576
158,0,100,3021.68,-0.6201835
159,0,100,2331.691,-0.065157
160,0,100,2134.073,-0.2159823
161,0,100,2184.113,-0.4208999
162,0,100,1957.634,0.05539042
163,0,100,1893.934,-0.2705559
164,0,100,1754.956,0.03546983
165,0,100,1618.269,-0.02502586
166,0,100,1545.79,-0.06237864
167,0,100,1462.804,-0.04521105
168,0,100,1387.781,-0.1443605
169,0,100,1359.965,-0.09207017
170,0,100,1309.467,-0.04756236
171,0,100,1244.782,0.09822334
172,0,100,1189.693,0.1125226
173,0,100,1135.921,0.09296261
174,0,100,1087.02,0.1637178
175,0,100,1050.391,0.120922
176,0,100,1007.61,0.247575
177,0,100,960.8453,0.2645885
178,0,100,914.4236,0.256795
179,0,100,868.3344,0.2477931
180,0,100,820.7641,0.2541125
181,0,100,772.2916,0.2986184
182,0,100,723.3948,0.3337301
183,0,100,684.0056,0.1308897
184,0,100,696.0611,-0.1703411
185,0,100,1353.118,-0.5108198
186,0,100,3474.623,-0.4058465
187,0,100,5569.386,-0.408726
188,0,100,4527.243,-0.2322044
189,0,100,3979.076,-0.1781444
190,0,100,3557.679,-0.2306778
191,0,100,3342.094,-0.2323984
192,0,100,3054.854,-0.1901565
193,0,100,2936.17,-0.06706728
194,0,100,2580.633,-0.05520253
195,0,100,2259.678,0.09783276
196,0,100,2087.395,-0.02061577
197,0,100,1757.718,0.1603732
198,0,100,1585.107,0.02766148
199,0,100,1528.751,-0.1868361
200,0,100,1349.411,-0.117949
201,0,100,1298.485,-0.07721732
202,0,100,1234.578,-0.05390107
203,0,100,1165.788,-0.1944466
204,0,100,1103.734,-0.263208
205,0,100,981.6693,-0.07220014
206,0,100,928.0147,-0.0352562
207,0,100,850.9868,0.06497729
208,0,100,799.9325,0.1394248
209,0,100,737.8212,0.03773498
210,0,100,679.2375,0.2865624
211,0,100,639.9329,0.04927498
212,0,100,575.978,0.2947417
213,0,100,529.2703,0.2590076
214,0,100,485.2876,0.124303
215,0,100,438.6815,0.1898123
216,0,100,399.2268,0.2505626
217,0,100,360.7419,0.3812203
218,0,100,324.1139,0.5244177
219,0,100,292.7595,0.3408213
220,0,100,261.3531,0.268384
221,0,100,240.8596,0.050708
222,0,100,225.4195,-0.1229476
223,0,100,241.6627,-0.3102162
224,0,100,367.8971,-0.4835415
225,0,100,2819.188,-0.6585434
226,0,100,3149.047,-0.6102901
227,0,100,2366.23,-0.2556103
228,0,100,1521.455,-0.5031247
229,0,100,2231.844,-0.3267256
230,0,100,2018.071,-0.1113596
231,0,100,1545.89,0.01348967
232,0,100,1459.044,-0.2381819
233,0,100,1189.086,-0.1881846
234,0,100,1093.801,-0.03760744
235,0,100,1017.634,-0.07289822
236,0,100,850.0244,0.148342
237,0,100,768.898,-0.007832013
238,0,100,664.0715,0.2059364
239,0,100,576.1133,0.07203697
240,0,100,537.0431,-0.02400794
241,0,100,503.2335,-0.009567598
242,0,100,459.4355,0.1476038
243,0,100,414.6321,0.1844523
244,0,100,377.0778,0.1973463
245,0,100,339.9984,0.2724863
246,0,100,312.5678,0.2091951
247,0,100,279.7076,0.3581805
248,0,100,250.4741,0.3843786
249,0,100,225.0168,0.3965979
250,0,100,202.1077,0.4017398
251,0,100,179.9841,0.4656087
252,0,100,159.4748,0.5013672
253,0,100,140.7505,0.5383266
254,0,100,123.8513,0.5465243
255,0,100,108.1838,0.5918783
256,0,100,93.88537,0.6560921
257,0,100,81.47823,0.6733063
258,0,100,70.79944,0.681823
259,0,100,61.58826,0.7021204
260,0,100,53.72335,0.7141905
261,0,100,47.0016,0.7109267
262,0,100,41.15593,0.7033498
263,0,100,35.96961,0.7241312
264,0,100,31.36599,0.7731513
265,0,100,27.35426,0.8051454
266,0,100,23.8809,0.8087763
267,0,100,20.8403,0.8133925
268,0,100,18.15857,0.830658
269,0,100,15.80167,0.8477956
270,0,100,13.74084,0.8567085
271,0,100,11.94128,0.8637825
272,0,100,10.36938,0.8736764
273,0,100,8.998253,0.8830773
274,0,100,7.804895,0.8901535
275,0,100,6.767703,0.8972512
276,0,100,5.868511,0.9036129
277,0,100,5.091378,0.9072921
278,0,100,4.421741,0.9094386
279,0,100,3.845635,0.9112066
280,0,100,3.350422,0.9129573
281,0,100,2.924808,0.9150057
282,0,100,2.558803,0.9173347
283,0,100,2.243418,0.9204677
284,0,100,1.971336,0.9242238
285,0,100,1.736597,0.9274735
286,0,100,1.533921,0.9299627
287,0,100,1.358617,0.9327308
288,0,100,1.206507,0.9357361
289,0,100,1.074252,0.938671
290,0,100,0.958932,0.9412353
